1 a No surgeons that the patients trusted have ever prescribed experimental treatments.,1 a ,,,,,
1 b The surgeons that no patients trusted have ever prescribed experimental treatments.,1 b ,,,,,
1 c The surgeons that the patients trusted have ever prescribed experimental treatments,1 c ,,,,,
1 d No surgeons that the patients trusted to heal injuries have ever prescribed experimental treatments.,1 d ,,,,,
1 e The surgeons that no patients trusted to heal injuries have ever prescribed experimental treatments.,1 e ,,,,,
1 f The surgeons that the patients trusted to heal injuries have ever prescribed experimental treatments.,1 f ,,,,,
1 g No surgeons that the patients trusted have healed any injuries with experimental treatments.,1 g ,,,,,
1 h The surgeons that no patients trusted have healed any injuries with experimental treatments.,1 h ,,,,,
1 i The surgeons that the patients trusted have healed any injuries with experimental treatments.,1 i ,,,,,
2 a No singers that the choirs hired have ever lost their voices before a show.,2 a ,,,,,
2 b The singers that no choirs hired have ever lost their voices before a show.,2 b ,,,,,
2 c The singers that the choirs hired have ever lost their voices before a show.,2 c ,,,,,
2 d No singers that the choirs hired to create harmonies have ever lost their voices before a show.,2 d ,,,,,
2 e The singers that no choirs hired to create harmonies have ever lost their voices before a show.,2 e ,,,,,
2 f The singers that the choirs hired to create harmonies have ever lost their voices before a show.,2 f ,,,,,
2 g No singers that the choirs hired have created any harmonies without help from the director.,2 g ,,,,,
2 h The singers that no choirs hired have created any harmonies without help from the director.,2 h ,,,,,
2 i The singers that the choirs hired have created any harmonies without help from the director.,2 i ,,,,,
3 a No dogs that the families adopted have ever ran away from the house.,3 a ,,,,,
3 b The dogs that no families adopted have ever ran away from the house.,3 b ,,,,,
3 c The dogs that the families adopted have ever ran away from the house.,3 c ,,,,,
3 d No dogs that the families adopted to bring themselves joy have ever ran away from the house.,3 d ,,,,,
3 e The dogs that no families adopted to bring themselves joy have ever ran away from the house.,3 e ,,,,,
3 f The dogs that the families adopted to bring themselves joy have ever ran away from the house.,3 f ,,,,,
3 g No dogs that the families adopted have brought any joy to the neighborhood kids.,3 g ,,,,,
3 h The dogs that no families adopted have brought any joy to the neighborhood kids.,3 h ,,,,,
3 i The dogs that the families adopted have brought any joy to the neighborhood kids.,3 i ,,,,,
4 a No professors that the students chose have ever met their expectations.,4 a ,,,,,
4 b The professors that no students chose have ever met their expectations.,4 b ,,,,,
4 c The professors that the students chose have ever met their expectations.,4 c ,,,,,
4 d No professors that the students chose to inspire motivation have ever met their expectations.,4 d ,,,,,
4 e The professors that no students chose to inspire motivation have ever met their expectations.,4 e ,,,,,
4 f The professors that the students chose to inspire motivation have ever met their expectations.,4 f ,,,,,
4 g No professors that the students chose have inspired any motivation in the students’ studies.,4 g ,,,,,
4 h The professors that no students chose have inspired any motivation in the students’ studies.,4 h ,,,,,
